Year,Jurisdiction,Category,Tonnes
2018-2019,ACT,Biosolids,0
2018-2019,ACT,Biosolids,0
2018-2019,ACT,Biosolids,0
2018-2019,ACT,Biosolids,0
2018-2019,ACT,Biosolids,0
2018-2019,ACT,Biosolids,0
2018-2019,ACT,Biosolids,0
2018-2019,ACT,Biosolids,0
2018-2019,ACT,Glass,8
2018-2019,ACT,Glass,0
2018-2019,ACT,Glass,2127
2018-2019,ACT,Glass,0
2018-2019,ACT,Glass,4392
2018-2019,ACT,Glass,0
2018-2019,ACT,Glass,6527
2018-2019,ACT,Glass,13444
2018-2019,ACT,Glass,8
2018-2019,ACT,Glass,0
2018-2019,ACT,Glass,2127
2018-2019,ACT,Glass,0
2018-2019,ACT,Glass,4392
2018-2019,ACT,Glass,0
2018-2019,ACT,Glass,6527
2018-2019,ACT,Glass,13444
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,25979
2018-2019,ACT,Hazardous,13
2018-2019,ACT,Hazardous,13
2018-2019,ACT,Hazardous,10
2018-2019,ACT,Hazardous,22130
2018-2019,ACT,Hazardous,11
2018-2019,ACT,Hazardous,11
2018-2019,ACT,Hazardous,9
2018-2019,ACT,Hazardous,48110
2018-2019,ACT,Hazardous,24
2018-2019,ACT,Hazardous,24
2018-2019,ACT,Hazardous,19
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,13
2018-2019,ACT,Hazardous,79
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,40
2018-2019,ACT,Hazardous,13
2018-2019,ACT,Hazardous,79
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,40
2018-2019,ACT,Hazardous,10
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,1
2018-2019,ACT,Hazardous,4
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,13
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,1
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,104
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,4349
2018-2019,ACT,Hazardous,609
2018-2019,ACT,Hazardous,104
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,4349
2018-2019,ACT,Hazardous,609
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,49
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,176
2018-2019,ACT,Hazardous,124
2018-2019,ACT,Hazardous,49
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,176
2018-2019,ACT,Hazardous,124
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,66
2018-2019,ACT,Hazardous,2
2018-2019,ACT,Hazardous,496
2018-2019,ACT,Hazardous,552
2018-2019,ACT,Hazardous,66
2018-2019,ACT,Hazardous,2
2018-2019,ACT,Hazardous,496
2018-2019,ACT,Hazardous,552
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,3
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,4
2018-2019,ACT,Hazardous,12
2018-2019,ACT,Hazardous,3
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,4
2018-2019,ACT,Hazardous,12
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,1
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,2
2018-2019,ACT,Hazardous,3
2018-2019,ACT,Hazardous,1
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,2
2018-2019,ACT,Hazardous,3
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,1
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,1
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,21
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,11
2018-2019,ACT,Hazardous,15
2018-2019,ACT,Hazardous,21
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,11
2018-2019,ACT,Hazardous,15
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,11
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,2
2018-2019,ACT,Hazardous,1
2018-2019,ACT,Hazardous,11
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,2
2018-2019,ACT,Hazardous,1
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
