Country,alpha_3_code,Year,Waste
Australia,AUS,1992,12000
Australia,AUS,2000,13200
Australia,AUS,2007,12873
Australia,AUS,2008,13096.5
Australia,AUS,2009,13320
Australia,AUS,2010,13534
Australia,AUS,2011,13450
Australia,AUS,2012,13572.333
Australia,AUS,2013,13694.667
Australia,AUS,2014,13817
Australia,AUS,2015,14003
Australia,AUS,2016,13539
Australia,AUS,2017,13751
Austria,AUT,1990,3204
Austria,AUT,1991,3126
Austria,AUT,1992,3176
Austria,AUT,1993,3341
Austria,AUT,1994,3400
Austria,AUT,1995,3476
Austria,AUT,1996,4110
Austria,AUT,1997,4241
Austria,AUT,1998,4240
Austria,AUT,1999,4496
Austria,AUT,2000,4646
Austria,AUT,2001,4634
Austria,AUT,2002,4914
Austria,AUT,2003,4932
Austria,AUT,2004,4686.7
Austria,AUT,2005,4731.7
Austria,AUT,2006,4932.5
Austria,AUT,2007,4951.1
Austria,AUT,2008,4996.9
Austria,AUT,2009,4921
Austria,AUT,2010,4700.8
Austria,AUT,2011,4806.9
Austria,AUT,2012,4883.3
Austria,AUT,2013,4905.2
Austria,AUT,2014,4832.5
Austria,AUT,2015,4836
Austria,AUT,2016,4928.4
Austria,AUT,2017,5017.6
Austria,AUT,2018,5119
Austria,AUT,2019,5220.28
Belgium,BEL,1990,3436
Belgium,BEL,1995,4613.231
Belgium,BEL,1996,4567.049
Belgium,BEL,1997,4650.462
Belgium,BEL,1998,4603.141
Belgium,BEL,1999,4701.646
Belgium,BEL,2000,4830.518
Belgium,BEL,2001,4801.848
Belgium,BEL,2002,4981.229
Belgium,BEL,2003,4824.054
Belgium,BEL,2004,5058.685
Belgium,BEL,2005,5052.388
Belgium,BEL,2006,5114.829
Belgium,BEL,2007,5242.92
Belgium,BEL,2008,5140.702
Belgium,BEL,2009,5042.386
Belgium,BEL,2010,4971.958
Belgium,BEL,2011,5022.778
Belgium,BEL,2012,4944.255
Belgium,BEL,2013,4867.074
Belgium,BEL,2014,4762.003
Belgium,BEL,2015,4642.623
Belgium,BEL,2016,4745.78
Belgium,BEL,2017,4671.868
Belgium,BEL,2018,4677.385
Belgium,BEL,2019,4779.342
Brazil,BRA,2000,57563
Brazil,BRA,2001,55677
Brazil,BRA,2002,56524
Brazil,BRA,2003,57587
Brazil,BRA,2004,59214
Brazil,BRA,2005,60142
Brazil,BRA,2007,51432
Brazil,BRA,2009,53000
Brazil,BRA,2010,53000
Brazil,BRA,2011,53000
Brazil,BRA,2012,57900
Chile,CHL,2000,4520.3
Chile,CHL,2001,4514.7
Chile,CHL,2002,4647.1
Chile,CHL,2003,4802.3
Chile,CHL,2004,4964.1
Chile,CHL,2005,5113.7
Chile,CHL,2006,5310.9
Chile,CHL,2007,5492.9
Chile,CHL,2008,5608
Chile,CHL,2009,5779.5
Chile,CHL,2010,5935.7
Chile,CHL,2011,6142.4
Chile,CHL,2014,6811.71
Chile,CHL,2015,7197.351
Chile,CHL,2016,7228.65
Chile,CHL,2017,8121.992
Chile,CHL,2018,8177.448
China (People's Republic of),CHN,1990,67668
China (People's Republic of),CHN,1991,76360
China (People's Republic of),CHN,1992,82620
China (People's Republic of),CHN,1993,87910
China (People's Republic of),CHN,1994,99520
China (People's Republic of),CHN,1995,106710
China (People's Republic of),CHN,1996,108254
China (People's Republic of),CHN,1997,109819
China (People's Republic of),CHN,1998,113018
China (People's Republic of),CHN,1999,114152
China (People's Republic of),CHN,2000,118190
China (People's Republic of),CHN,2001,134700
China (People's Republic of),CHN,2002,136500
China (People's Republic of),CHN,2003,148570
China (People's Republic of),CHN,2004,155090
China (People's Republic of),CHN,2005,155770
China (People's Republic of),CHN,2006,148410
China (People's Republic of),CHN,2007,152150
China (People's Republic of),CHN,2008,154380
China (People's Republic of),CHN,2009,157340
China (People's Republic of),CHN,2010,158048
China (People's Republic of),CHN,2011,163953
China (People's Republic of),CHN,2012,170809
China (People's Republic of),CHN,2013,172386
China (People's Republic of),CHN,2014,178602
China (People's Republic of),CHN,2015,191419
China (People's Republic of),CHN,2016,203620
China (People's Republic of),CHN,2017,215209
Colombia,COL,2003,5289
Colombia,COL,2004,6128
Colombia,COL,2005,7583.09
Colombia,COL,2006,7583.09
Colombia,COL,2007,9153.993
Colombia,COL,2008,9154.028
Colombia,COL,2009,11273.441
Colombia,COL,2010,8980.19
Colombia,COL,2011,9686.042
Colombia,COL,2012,8996.133
Colombia,COL,2013,9144.506
Colombia,COL,2014,9144.637
Colombia,COL,2015,9967.844
Colombia,COL,2016,11400.036
Colombia,COL,2017,10856.976
Colombia,COL,2018,12082.511
Costa Rica,CRI,2010,1506
Costa Rica,CRI,2011,1659
Costa Rica,CRI,2012,1698
Costa Rica,CRI,2013,1752
Costa Rica,CRI,2014,1788
Costa Rica,CRI,2015,1877
Costa Rica,CRI,2016,1218
Costa Rica,CRI,2017,1267
Costa Rica,CRI,2018,1462
Costa Rica,CRI,2019,1344
Czech Republic,CZE,1994,2489.8
Czech Republic,CZE,1995,3120
Czech Republic,CZE,1996,3200
Czech Republic,CZE,1997,3280
Czech Republic,CZE,1998,3017
Czech Republic,CZE,1999,3365
Czech Republic,CZE,2000,3434
Czech Republic,CZE,2001,2798
Czech Republic,CZE,2002,2845
Czech Republic,CZE,2003,2857
Czech Republic,CZE,2004,2841
Czech Republic,CZE,2005,2954
Czech Republic,CZE,2006,3039
Czech Republic,CZE,2007,3025
Czech Republic,CZE,2008,3176
Czech Republic,CZE,2009,3310
Czech Republic,CZE,2010,3334
Czech Republic,CZE,2011,3358
Czech Republic,CZE,2012,3233
Czech Republic,CZE,2013,3228.23
Czech Republic,CZE,2014,3260.581
Czech Republic,CZE,2015,3337.336
Czech Republic,CZE,2016,3579.615
Czech Republic,CZE,2017,5176.513
Czech Republic,CZE,2018,5247.651
Czech Republic,CZE,2019,5337.521
Denmark,DNK,1994,2802.6
Denmark,DNK,1995,2725
Denmark,DNK,1996,3253
Denmark,DNK,1997,3104
Denmark,DNK,1998,3141
Denmark,DNK,1999,3329
Denmark,DNK,2000,3546
Denmark,DNK,2001,3519
Denmark,DNK,2002,3568
Denmark,DNK,2003,3618
Denmark,DNK,2004,3757
Denmark,DNK,2005,3990
Denmark,DNK,2006,4021
Denmark,DNK,2007,4313
Denmark,DNK,2008,4560
Denmark,DNK,2009,4206
Denmark,DNK,2010,4206
Denmark,DNK,2011,4803
Denmark,DNK,2012,4508
Denmark,DNK,2013,4564
Denmark,DNK,2014,4558
Denmark,DNK,2015,4671
Denmark,DNK,2016,4757
Denmark,DNK,2017,4728
Denmark,DNK,2018,4715
Denmark,DNK,2019,4907.466
Estonia,EST,1995,533
Estonia,EST,1996,565
Estonia,EST,1997,593
Estonia,EST,1998,557
Estonia,EST,1999,569
Estonia,EST,2000,633
Estonia,EST,2001,508.53
Estonia,EST,2002,553.24
Estonia,EST,2003,566.8
Estonia,EST,2004,606.2
Estonia,EST,2005,587.19
Estonia,EST,2006,536
Estonia,EST,2007,602
Estonia,EST,2008,524
Estonia,EST,2009,452
Estonia,EST,2010,406
Estonia,EST,2011,399
Estonia,EST,2012,371
Estonia,EST,2013,386.29
Estonia,EST,2014,469.55
Estonia,EST,2015,472.55
Estonia,EST,2016,494.36
Estonia,EST,2017,513.64
Estonia,EST,2018,535.49
Estonia,EST,2019,489.771
Finland,FIN,1994,2100
Finland,FIN,1995,2108.6
Finland,FIN,1996,2100
Finland,FIN,1997,2300
Finland,FIN,1998,2400
Finland,FIN,1999,2500
Finland,FIN,2000,2600
Finland,FIN,2001,2412
Finland,FIN,2002,2384.4
Finland,FIN,2003,2427.9
Finland,FIN,2004,2453.4
Finland,FIN,2005,2505.8
Finland,FIN,2006,2600.1
Finland,FIN,2007,2674.9
Finland,FIN,2008,2768
Finland,FIN,2009,2562
Finland,FIN,2010,2519
Finland,FIN,2011,2719
Finland,FIN,2012,2738
Finland,FIN,2013,2681.55
Finland,FIN,2014,2629.88
Finland,FIN,2015,2738.28
Finland,FIN,2016,2767.93
Finland,FIN,2017,2811.59
Finland,FIN,2018,3041.08
Finland,FIN,2019,3122.705
France,FRA,1992,27000
France,FRA,1993,27757
France,FRA,1995,28253
France,FRA,1996,28950
France,FRA,1997,29677
France,FRA,1998,30449
France,FRA,1999,30612
France,FRA,2000,31232
France,FRA,2001,32198
France,FRA,2002,32684
France,FRA,2003,31400
France,FRA,2004,32444
France,FRA,2005,33347
France,FRA,2006,33962
France,FRA,2007,34577
France,FRA,2008,34501
France,FRA,2009,34426
France,FRA,2010,34609
France,FRA,2011,34790
France,FRA,2012,34484
France,FRA,2013,34176
France,FRA,2014,34260
France,FRA,2015,34344
France,FRA,2016,35355.86
France,FRA,2017,35817.34
France,FRA,2018,35888.63
France,FRA,2019,36739.9
Germany,DEU,1990,49857
Germany,DEU,1995,50894
Germany,DEU,1996,52544
Germany,DEU,1997,53966
Germany,DEU,1998,53058
Germany,DEU,1999,52373
Germany,DEU,2000,52810
Germany,DEU,2001,52075
Germany,DEU,2002,52772
Germany,DEU,2003,49622
Germany,DEU,2004,48434
Germany,DEU,2005,46555
Germany,DEU,2006,46426
Germany,DEU,2007,47887
Germany,DEU,2008,48367
Germany,DEU,2009,48466
Germany,DEU,2010,49237
Germany,DEU,2011,50237
Germany,DEU,2012,49759
Germany,DEU,2013,49570
Germany,DEU,2014,51102
Germany,DEU,2015,51625
Germany,DEU,2016,52133
Germany,DEU,2017,51790
Germany,DEU,2018,50259.97
Germany,DEU,2019,50611.79
Greece,GRC,1990,3000
Greece,GRC,1992,3200
Greece,GRC,1995,3200
Greece,GRC,1996,3600
Greece,GRC,1997,3900
Greece,GRC,1998,4082
Greece,GRC,1999,4264
Greece,GRC,2000,4447
Greece,GRC,2001,4559
Greece,GRC,2002,4640.1
Greece,GRC,2003,4710.3
Greece,GRC,2004,4781.5
Greece,GRC,2005,4853
Greece,GRC,2006,4927.1
Greece,GRC,2007,5001.6
Greece,GRC,2008,5077
Greece,GRC,2009,5154
Greece,GRC,2010,5917
Greece,GRC,2011,5586
Greece,GRC,2012,5463
Greece,GRC,2013,5284
Greece,GRC,2014,5315
Greece,GRC,2015,5277
Greece,GRC,2016,5367
Greece,GRC,2017,5415
Greece,GRC,2018,5523
Greece,GRC,2019,5613.179
Hungary,HUN,1990,5500
Hungary,HUN,1995,4752
Hungary,HUN,1996,4834
Hungary,HUN,1997,5016
Hungary,HUN,1998,4976
Hungary,HUN,1999,4943
Hungary,HUN,2000,4552
Hungary,HUN,2001,4603
Hungary,HUN,2002,4646
Hungary,HUN,2003,4700
Hungary,HUN,2004,4591.6
Hungary,HUN,2005,4646
Hungary,HUN,2006,4711
Hungary,HUN,2007,4593.5
Hungary,HUN,2008,4553
Hungary,HUN,2009,4312
Hungary,HUN,2010,4033
Hungary,HUN,2011,3809
Hungary,HUN,2012,3988
Hungary,HUN,2013,3738
Hungary,HUN,2014,3795
Hungary,HUN,2015,3712
Hungary,HUN,2016,3721
Hungary,HUN,2017,3768
Hungary,HUN,2018,3729
Hungary,HUN,2019,3780
Iceland,ISL,1995,114
Iceland,ISL,1996,117
Iceland,ISL,1997,120
Iceland,ISL,1998,123
Iceland,ISL,1999,126
Iceland,ISL,2000,130
Iceland,ISL,2001,133
Iceland,ISL,2002,137
Iceland,ISL,2003,140
Iceland,ISL,2004,147
Iceland,ISL,2005,153
Iceland,ISL,2006,171
Iceland,ISL,2007,174
Iceland,ISL,2008,208
Iceland,ISL,2009,132
Iceland,ISL,2010,154
Iceland,ISL,2011,158
Iceland,ISL,2012,164
Iceland,ISL,2013,167
Iceland,ISL,2014,175
Iceland,ISL,2015,194.6
Iceland,ISL,2016,219.9
Iceland,ISL,2017,225.3
Indonesia,IDN,2001,4726.108
Indonesia,IDN,2002,4859.61
Indonesia,IDN,2003,5470.788
Indonesia,IDN,2004,6044.45
Indonesia,IDN,2005,6044.45
Indonesia,IDN,2006,5256.52
Indonesia,IDN,2007,7576.772
Indonesia,IDN,2008,7576.772
Indonesia,IDN,2009,6866.198
Indonesia,IDN,2010,7245.246
Indonesia,IDN,2011,7742.343
Indonesia,IDN,2012,7650.389
Ireland,IRL,1995,1848.2
Ireland,IRL,1996,1898
Ireland,IRL,1997,2000
Ireland,IRL,1998,2056.7
Ireland,IRL,1999,2168
Ireland,IRL,2000,2278.7
Ireland,IRL,2001,2704
Ireland,IRL,2002,2720.4
Ireland,IRL,2003,2917.9
Ireland,IRL,2004,3000.6
Ireland,IRL,2005,3040.7
Ireland,IRL,2006,3384.6
Ireland,IRL,2007,3397.7
Ireland,IRL,2008,3224.28
Ireland,IRL,2009,2952.98
Ireland,IRL,2010,2846
Ireland,IRL,2011,2823
Ireland,IRL,2012,2692.5
Ireland,IRL,2013,2692.5
Ireland,IRL,2014,2619.02
Ireland,IRL,2015,2619.02
Ireland,IRL,2016,2763.167
Ireland,IRL,2017,2768.043
Ireland,IRL,2018,2912.353
Israel,ISR,2000,3967.58
Israel,ISR,2001,3590.481
Israel,ISR,2002,3855.364
Israel,ISR,2003,3846.939
Israel,ISR,2004,3978
Israel,ISR,2005,4086
Israel,ISR,2006,4227
Israel,ISR,2007,4304
Israel,ISR,2008,4434
Israel,ISR,2009,4550.8
Israel,ISR,2010,4623.18
Israel,ISR,2011,4745.8
Israel,ISR,2012,4837.4
Israel,ISR,2013,4861.886
Israel,ISR,2014,4955.262
Israel,ISR,2015,5081.651
Israel,ISR,2016,5261.411
Israel,ISR,2017,5434.653
Israel,ISR,2018,5658.206
Israel,ISR,2019,5790.647
Italy,ITA,1990,20000
Italy,ITA,1991,23200
Italy,ITA,1993,26100
Italy,ITA,1995,25780
Italy,ITA,1996,25960
Italy,ITA,1997,26605
Italy,ITA,1998,26846
Italy,ITA,1999,28364
Italy,ITA,2000,28959
Italy,ITA,2001,29409
Italy,ITA,2002,29864
Italy,ITA,2003,30035
Italy,ITA,2004,31150
Italy,ITA,2005,31668
Italy,ITA,2006,32516
Italy,ITA,2007,32536
Italy,ITA,2008,32461
Italy,ITA,2009,32107
Italy,ITA,2010,32440
Italy,ITA,2011,31386
Italy,ITA,2012,29994
Italy,ITA,2013,29573
Italy,ITA,2014,29652
Italy,ITA,2015,29524
Italy,ITA,2016,30112
Italy,ITA,2017,29572
Italy,ITA,2018,30165
Italy,ITA,2019,30079
Japan,JPN,1990,50256.625
Japan,JPN,1991,51132
Japan,JPN,1992,50902.94
Japan,JPN,1993,51267.9
Japan,JPN,1994,51800
Japan,JPN,1995,52224
Japan,JPN,1996,52908
Japan,JPN,1997,53098
Japan,JPN,1998,53605
Japan,JPN,1999,53699
Japan,JPN,2000,54833
Japan,JPN,2001,54681
Japan,JPN,2002,54199
Japan,JPN,2003,54271
Japan,JPN,2004,53376
Japan,JPN,2005,52720
Japan,JPN,2006,52024
Japan,JPN,2007,50816
Japan,JPN,2008,48106
Japan,JPN,2009,46252
Japan,JPN,2010,45359
Japan,JPN,2011,45430
Japan,JPN,2012,45234
Japan,JPN,2013,44874
Japan,JPN,2014,44317
Japan,JPN,2015,43981
Japan,JPN,2016,43170
Japan,JPN,2017,42894
Japan,JPN,2018,42716
Korea,KOR,1990,30646.1
Korea,KOR,1991,33669.8
Korea,KOR,1992,27410
Korea,KOR,1993,22973.1
Korea,KOR,1994,21213.1
Korea,KOR,1995,17438
Korea,KOR,1996,18222.6
Korea,KOR,1997,17481.7
Korea,KOR,1998,16272.8
Korea,KOR,1999,16649.1
Korea,KOR,2000,16949.9
Korea,KOR,2001,17702.1
Korea,KOR,2002,18214.2
Korea,KOR,2003,18518.9
Korea,KOR,2004,18252
Korea,KOR,2005,17665
Korea,KOR,2006,17828
Korea,KOR,2007,18376
Korea,KOR,2008,19006
Korea,KOR,2009,18581
Korea,KOR,2010,17943
Korea,KOR,2011,17861
Korea,KOR,2012,17881
Korea,KOR,2013,17786
Korea,KOR,2014,18219
Korea,KOR,2015,18705
Korea,KOR,2016,19627
Korea,KOR,2017,19523.668
Korea,KOR,2018,20452.921
Latvia,LVA,1995,657
Latvia,LVA,1996,650
Latvia,LVA,1997,621.09
Latvia,LVA,1998,597.38
Latvia,LVA,1999,613.12
Latvia,LVA,2000,642
Latvia,LVA,2001,713
Latvia,LVA,2002,793
Latvia,LVA,2003,695
Latvia,LVA,2004,720.38
Latvia,LVA,2005,716
Latvia,LVA,2006,760
Latvia,LVA,2007,860.92
Latvia,LVA,2008,751.92
Latvia,LVA,2009,752.96
Latvia,LVA,2010,680.14
Latvia,LVA,2011,720.64
Latvia,LVA,2012,657.612
Latvia,LVA,2013,704
Latvia,LVA,2014,726
Latvia,LVA,2015,798.061
Latvia,LVA,2016,802.473
Latvia,LVA,2017,798.187
Latvia,LVA,2018,785.074
Latvia,LVA,2019,840.413
Lithuania,LTU,1995,1546
Lithuania,LTU,1996,1445
Lithuania,LTU,1997,1510
Lithuania,LTU,1998,1578
Lithuania,LTU,1999,1236
Lithuania,LTU,2000,1275.92
Lithuania,LTU,2001,1313.45
Lithuania,LTU,2002,1395.1
Lithuania,LTU,2003,1327.61
Lithuania,LTU,2004,1260.12
Lithuania,LTU,2005,1287.37
Lithuania,LTU,2006,1325.72
Lithuania,LTU,2007,1353.61
Lithuania,LTU,2008,1368.98
Lithuania,LTU,2009,1205.53
Lithuania,LTU,2010,1252.62
Lithuania,LTU,2011,1339.28
Lithuania,LTU,2012,1330.16
Lithuania,LTU,2013,1280.05
Lithuania,LTU,2014,1270.245
Lithuania,LTU,2015,1299.998
Lithuania,LTU,2016,1272.061
Lithuania,LTU,2017,1286.434
Lithuania,LTU,2018,1300.572
Lithuania,LTU,2019,1318.626
Luxembourg,LUX,1990,223.6
Luxembourg,LUX,1991,216.8
Luxembourg,LUX,1992,195.52
Luxembourg,LUX,1993,200.98
Luxembourg,LUX,1994,196.1
Luxembourg,LUX,1995,240.04
Luxembourg,LUX,1996,242.3
Luxembourg,LUX,1997,253.19
Luxembourg,LUX,1998,265.59
Luxembourg,LUX,1999,277.89
Luxembourg,LUX,2000,285.26
Luxembourg,LUX,2001,285.21
Luxembourg,LUX,2002,291.29
Luxembourg,LUX,2003,306.43
Luxembourg,LUX,2004,310.89
Luxembourg,LUX,2005,312.76
Luxembourg,LUX,2006,322.65
Luxembourg,LUX,2007,333.37
Luxembourg,LUX,2008,340.69
Luxembourg,LUX,2009,338.14
Luxembourg,LUX,2010,344.26
Luxembourg,LUX,2011,345.33
