year,total_annual_tonnes_collected,total_annual_tonnes_processed
2001,3028,683
2001,4049,587
2001,23597,6337
2001,36523,16748
2001,7577,2490
2001,10378,1644
2001,37985,15549
2001,63985,25152
2001,53636,12086
2001,2023,237
2001,13833,1045
2001,12739,2997
2001,60228,19611
2001,3065,569
2001,4746,1331
2001,3496,936
2001,42963,15468
2001,9624,4098
2001,10734,1775
2001,27312,8442
2001,3665,1100
2001,51534,9878
2001,2351,495
2001,3800, -   
2001,29627,3367
2001,43395,8829
2001,63012,11586
2001,20710,4035
2001,3292,561
2001,1826,600
2001,28589,8562
2001,5830,593
2001,44537,6091
2001,3000,625
2001,51401,23427
2001,46719,23394
2001,27701,3370
2001,1942, -   
2001,9443,2543
2001,44389,22560
2001,21903,5853
2001,39805,21598
2001,16907,2509
2001,16856,3343
2001,11976,2755
2001,7280,2193
2001,10362,2362
2001,65820,16331
2001,42754,7002
2001,5184,1098
2001,46017,16011
2001,56381,9826
2001,4987,485
2001,3792,107
2001,3745,378
2001,15044,6583
2001,3963,1138
2001,27747,8313
2001,784,56
2001,1642,442
2001,5151,1236
2001,1963,678
2001,33714,11981
2001,1694,545
2001,5872,1037
2001,5849,1709
2001,1571,163
2001,7751,1075
2001,7499,2185
2001,9360,2084
2001,577,39
2001,47650,15043
2001,32119,7982
2001,13880,4634
2001,26292,5513
2001,19933,6650
2001,40272,9444
2001,1560, -   
2002,3336,730
2002,5475,472
2002,24521,6645
2002,35072,15708
2002,7831,2190
2002,8508,1696
2002,35274,14265
2002,4708,1254
2002,68688,25005
2002,52728,11959
2002,1928,146
2002,13370,971
2002,13760,2717
2002,58885,21057
2002,3266,699
2002,6576,3476
2002,3564,1277
2002,42838,15584
2002,10661,2369
2002,32323,11949
2002,4101,1081
2002,44773,11474
2002,3414,605
2002,4135,630
2002,29073,3604
2002,42632,9615
2002,54576,22919
2002,21371,3062
2002,3048,710
2002,1396,223
2002,28264,8775
2002,5516,434
2002,46137,13863
2002,3524,690
2002,50580,23049
2002,55197,24991
2002,25714,3372
2002,1942, -   
2002,10613,3240
2002,44090,22091
2002,2792,792
2002,22431,6119
2002,38871,20995
2002,19299,3371
2002,20580,4791
2002,17600,3029
2002,6290,1126
2002,8299,1126
2002,68567,33220
2002,45497,7623
2002,5766,1129
2002,46321,16822
2002,52570,14035
2002,4990,1290
2002,5787,501
2002,3711,478
2002,18581,9781
2002,3672,901
2002,27856,8692
2002,973,192
2002,1846,546
2002,4842,995
2002,1976,796
2002,32206,11513
2002,2698,658
2002,8279,2092
2002,6376,1751
2002,2052,215
2002,8563,1363
2002,7462,2041
2002,7999,2341
2002,642,104
2002,46514,15988
2002,35087,10800
2002,11673,2402
2002,26894,7105
2002,20541,7011
2002,34411,9792
2002,1654, -   
2003,2834,710
2003,5308,422
2003,23163,5523
2003,34869,14753
2003,8020,2251
2003,8880,2799
2003,37798,15538
2003,4186,839
2003,69656,29241
2003,52450,10372
2003,3939,581
2003,13485,1298
2003,16226,3653
2003,63564,25173
2003,3231,649
2003,7406,3994
2003,4924,1286
2003,42933,15751
2003,12212,2787
2003,39007,17337
2003,3154,704
2003,52699,13698
2003,3402,625
2003,3851,714
2003,30747,5150
2003,47215,13179
2003,80320,46333
2003,22750,3802
2003,2574,1220
2003,1980,280
2003,28040,10051
2003,5875,806
2003,50360,12590
2003,3726,781
2003,52581,24722
2003,55580,25797
2003,33672,3329
2003,1700, -   
2003,10968,3591
2003,45827,21569
2003,3180,1130
2003,23537,5957
2003,41634,21059
2003,22167,4346
2003,20056,5850
2003,15114,2616
2003,7290,2062
2003,6624,1549
2003,67040,32780
2003,41433,6244
2003,5272,1209
2003,47324,17263
2003,47698,14874
2003,8418,1348
2003,4149,207
2003,3725,483
2003,15882,7390
2003,3637,827
2003,28139,8983
2003,1020,240
2003,1518,478
2003,5158,1373
2003,2203,949
2003,33899,11718
2003,2691,583
2003,7531,3059
2003,6405,1554
2003,2067,229
2003,9285,3165
2003,7892,2449
2003,8214,2359
2003,764,110
2003,45890,14618
2003,36335,10896
2003,9611,3141
2003,28850,8244
2003,21026,7236
2003,37209,10099
2003,1696, -   
2004,3147,1098
2004,4158,517
2004,23662,7029
2004,40792,20676
2004,8193,2411
2004,10739,4854
2004,39755,19517
2004,9597,4363
2004,70981,31677
2004,56122,12847
2004,3734,602
2004,10384,2676
2004,18569,4796
2004,81065,40541
2004,3084,539
2004,8113,3513
2004,5132,2054
2004,41882,15803
2004,12897,2958
2004,42780,19932
2004,3609,1167
2004,53768,14570
2004,3260,931
2004,5040,888
2004,32636,6396
2004,51204,16476
2004,87634,50828
2004,21877,3464
2004,2789,926
2004,1618,372
2004,31201,13304
2004,7193,895
2004,49200,13935
2004,3842,852
2004,55398,26669
2004,58384,27409
2004,28622,14147
2004,1700, -   
2004,9303,3243
2004,47332,23166
2004,3154,845
2004,24616,6440
2004,46079,23793
2004,20409,2491
2004,23623,9814
2004,14710,3136
2004,8393,2223
2004,8422,1623
2004,65150,35663
2004,42620,13513
2004,5751,1482
